id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ044_ain-defla,عين الدفلى,Ain Defla,ain-defla,DZ044_ain-defla,1,36.257,1.955
DZ044_ain-lechiakh,عين الاشياخ,Ain Lechiakh,ain-lechiakh,DZ044_ain-lechiakh,3,36.117,4.047
DZ044_bathia,بطحية,Bathia,bathia,DZ044_bathia,3,35.977,1.793
DZ044_bordj-el-emir-khaled,برج الأمير خالد,Bordj El Emir Khaled,bordj-el-emir-khaled,DZ044_bordj-el-emir-khaled,3,36.044,2.164
DZ044_boumedfaa,بومدفع,Boumedfaa,boumedfaa,DZ044_boumedfaa,2,36.354,2.498
DZ044_djelida,جليدة,Djelida,djelida,DZ044_djelida,3,36.143,1.995
DZ044_djendel,جندل,Djendel,djendel,DZ044_djendel,3,36.198,2.478
DZ044_el-abadia,العبادية,El Abadia,el-abadia,DZ044_el-abadia,3,36.345,1.749
DZ044_el-amra,العامرة,El Amra,el-amra,DZ044_el-amra,3,36.351,1.954
DZ044_el-attaf,العطاف,El Attaf,el-attaf,DZ044_el-attaf,2,36.185,1.675
DZ044_hammam-righa,حمام ريغة,Hammam Righa,hammam-righa,DZ044_hammam-righa,3,36.513,2.528
DZ044_khemis,خميس,Khemis,khemis,DZ044_khemis,2,36.22,1.333
DZ044_miliana,مليانة,Miliana,miliana,DZ044_miliana,2,36.334,2.204
DZ044_rouina,الروينة,Rouina,rouina,DZ044_rouina,3,36.184,1.839
