id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
DZ017001,Ain El Orak,Ain El Orak,ain-el-orak-dz017001,DZ017001,33.423,0.83
DZ017002,Arbaouat,Arbaouat,arbaouat-dz017002,DZ017002,33.142,0.585
DZ017003,Bougtoub,Bougtoub,bougtoub-dz017003,DZ017003,34.031,0.255
DZ017004,Boussemghoun,Boussemghoun,boussemghoun-dz017004,DZ017004,32.814,0.051
DZ017005,Brezina,Brezina,brezina-dz017005,DZ017005,32.536,1.745
DZ017006,Cheguig,Cheguig,cheguig-dz017006,DZ017006,33.982,1.113
DZ017007,Chellala,Chellala,chellala-dz017007,DZ017007,33.028,0.085
DZ017008,El Abiodh Sidi Cheikh,El Abiodh Sidi Cheikh,el-abiodh-sidi-cheikh-dz017008,DZ017008,32.104,1.106
DZ017009,El Bayadh,El Bayadh,el-bayadh-dz017009,DZ017009,33.647,1.01
DZ017010,El Bnoud,El Bnoud,el-bnoud-dz017010,DZ017010,31.71,0.301
DZ017011,El Kheither,El Kheither,el-kheither-dz017011,DZ017011,34.221,0.125
DZ017012,El Mehara,El Mehara,el-mehara-dz017012,DZ017012,33.272,0.195
DZ017013,Ghassoul,Ghassoul,ghassoul-dz017013,DZ017013,33.496,1.249
DZ017014,Hadj Mechri Boualem,Hadj Mechri Boualem,hadj-mechri-boualem-dz017014,DZ017014,33.695,1.514
DZ017015,Kef El Ahmar,Kef El Ahmar,kef-el-ahmar-dz017015,DZ017015,33.84,0.622
DZ017016,Krakda,Krakda,krakda-dz017016,DZ017016,33.367,1.035
DZ017017,Rogassa,Rogassa,rogassa-dz017017,DZ017017,34.04,0.832
DZ017018,Sidi Ameur,Sidi Ameur,sidi-ameur-dz017018,DZ017018,33.614,1.361
DZ017019,Sidi Slimane,Sidi Slimane,sidi-slimane-dz017019,DZ017019,33.786,1.757
DZ017020,Sidi Tifour,Sidi Tifour,sidi-tifour-dz017020,DZ017020,33.63,1.727
DZ017021,Stitten,Stitten,stitten-dz017021,DZ017021,33.838,1.218
DZ017022,Tousmouline,Tousmouline,tousmouline-dz017022,DZ017022,33.62,0.312
