id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
DZ020001,Berriane,Berriane,berriane-dz020001,DZ020001,32.892,3.753
DZ020002,Bounoura,Bounoura,bounoura-dz020002,DZ020002,32.534,3.284
DZ020003,Dhayet Bendahoua,Dhayet Bendahoua,dhayet-bendahoua-dz020003,DZ020003,32.679,3.332
DZ020004,El Atteuf,El Atteuf,el-atteuf-dz020004,DZ020004,32.51,3.958
DZ020005,El Guerrara,El Guerrara,el-guerrara-dz020005,DZ020005,32.78,4.555
DZ020006,El Mansoura,El Mansoura,el-mansoura-dz020006,DZ020006,32.063,3.213
DZ020007,Ghardaia,Ghardaia,ghardaia-dz020007,DZ020007,32.602,3.721
DZ020008,Golea,Golea,golea-dz020008,DZ020008,31.365,2.898
DZ020009,Hassi El Garaa,Hassi El Garaa,hassi-el-garaa-dz020009,DZ020009,29.753,2.802
DZ020010,Hassi Lefhal,Hassi Lefhal,hassi-lefhal-dz020010,DZ020010,31.758,3.39
DZ020011,Metlili,Metlili,metlili-dz020011,DZ020011,32.432,3.145
DZ020012,Sebseb,Sebseb,sebseb-dz020012,DZ020012,32.309,2.867
DZ020013,Zelfana,Zelfana,zelfana-dz020013,DZ020013,32.411,4.296
