id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
DZ037001,Ain Abessa,Ain Abessa,ain-abessa-dz037001,DZ037001,36.311,5.3
DZ037002,Ain Arnat,Ain Arnat,ain-arnat-dz037002,DZ037002,36.18,5.253
DZ037003,Ain Azal,Ain Azal,ain-azal-dz037003,DZ037003,35.82,5.492
DZ037004,Ain El Kebira,Ain El Kebira,ain-el-kebira-dz037004,DZ037004,36.381,5.52
DZ037005,Ain Lagradj,Ain Lagradj,ain-lagradj-dz037005,DZ037005,36.412,4.904
DZ037006,Ain Lahdjar,Ain Lahdjar,ain-lahdjar-dz037006,DZ037006,35.963,5.594
DZ037007,Ain Oulmane,Ain Oulmane,ain-oulmane-dz037007,DZ037007,35.925,5.328
DZ037008,Ain Roua,Ain Roua,ain-roua-dz037008,DZ037008,36.322,5.208
DZ037009,Ain Sebt,Ain Sebt,ain-sebt-dz037009,DZ037009,36.497,5.722
DZ037010,Ait Tizi,Ait Tizi,ait-tizi-dz037010,DZ037010,36.538,5.157
DZ037011,Amoucha,Amoucha,amoucha-dz037011,DZ037011,36.379,5.42
DZ037012,Babor,Babor,babor-dz037012,DZ037012,36.504,5.535
DZ037013,Bazer Sakra,Bazer Sakra,bazer-sakra-dz037013,DZ037013,36.083,5.678
DZ037014,Beidha Bordj,Beidha Bordj,beidha-bordj-dz037014,DZ037014,35.841,5.631
DZ037015,Bellaa,Bellaa,bellaa-dz037015,DZ037015,36.222,5.873
DZ037016,Beni Aziz,Beni Aziz,beni-aziz-dz037016,DZ037016,36.478,5.656
DZ037017,Beni Chebana,Beni Chebana,beni-chebana-dz037017,DZ037017,36.47,4.913
DZ037018,Beni Fouda,Beni Fouda,beni-fouda-dz037018,DZ037018,36.283,5.554
DZ037019,Beni Hocine,Beni Hocine,beni-hocine-dz037019,DZ037019,36.262,5.114
DZ037020,Beni Mouhli,Beni Mouhli,beni-mouhli-dz037020,DZ037020,36.516,4.896
DZ037021,Beni Ouartilane,Beni Ouartilane,beni-ouartilane-dz037021,DZ037021,36.435,4.812
DZ037022,Bir El Arch,Bir El Arch,bir-el-arch-dz037022,DZ037022,36.103,5.801
DZ037023,Bir Haddada,Bir Haddada,bir-haddada-dz037023,DZ037023,35.964,5.461
DZ037024,Bouandas,Bouandas,bouandas-dz037024,DZ037024,36.506,5.105
DZ037025,Bougaa,Bougaa,bougaa-dz037025,DZ037025,36.344,5.114
DZ037026,Bousselam,Bousselam,bousselam-dz037026,DZ037026,36.496,5.009
DZ037027,Boutaleb,Boutaleb,boutaleb-dz037027,DZ037027,35.684,5.247
DZ037028,Dehamcha,Dehamcha,dehamcha-dz037028,DZ037028,36.381,5.62
DZ037029,Djemila,Djemila,djemila-dz037029,DZ037029,36.351,5.765
DZ037030,Draa Kebila,Draa Kebila,draa-kebila-dz037030,DZ037030,36.424,4.999
DZ037031,El Eulma,El Eulma,el-eulma-dz037031,DZ037031,36.169,5.699
DZ037032,El Oueldja,El Oueldja,el-oueldja-dz037032,DZ037032,36.089,5.922
DZ037033,El Ouricia,El Ouricia,el-ouricia-dz037033,DZ037033,36.272,5.402
DZ037034,Guellal,Guellal,guellal-dz037034,DZ037034,36.039,5.28
DZ037035,Guelta Zerga,Guelta Zerga,guelta-zerga-dz037035,DZ037035,36.208,5.686
DZ037036,Guenzet Tassameurt,Guenzet Tassameurt,guenzet-tassameurt-dz037036,DZ037036,36.338,4.824
DZ037037,Guidjel,Guidjel,guidjel-dz037037,DZ037037,36.083,5.492
DZ037038,Hamma,Hamma,hamma-dz037038,DZ037038,35.69,5.385
DZ037039,Hammam Guergour,Hammam Guergour,hammam-guergour-dz037039,DZ037039,36.35,5.033
DZ037040,Hammam Skhouna,Hammam Skhouna,hammam-skhouna-dz037040,DZ037040,35.949,5.838
DZ037041,Harbil,Harbil,harbil-dz037041,DZ037041,36.349,4.925
DZ037042,Ksar El Abtal,Ksar El Abtal,ksar-el-abtal-dz037042,DZ037042,35.98,5.213
DZ037046,M'Zada,M'Zada,mzada-dz037046,DZ037046,36.548,5.085
DZ037043,Maaouia,Maaouia,maaouia-dz037043,DZ037043,36.377,5.713
DZ037044,Maouklane,Maouklane,maouklane-dz037044,DZ037044,36.401,5.098
DZ037045,Mezloug,Mezloug,mezloug-dz037045,DZ037045,36.104,5.315
DZ037047,Oued El Bared,Oued El Bared,oued-el-bared-dz037047,DZ037047,36.5,5.405
DZ037048,Ouled Addouane,Ouled Addouane,ouled-addouane-dz037048,DZ037048,36.336,5.456
DZ037049,Ouled Sabor,Ouled Sabor,ouled-sabor-dz037049,DZ037049,36.185,5.541
DZ037050,Ouled Sidi Ahmed,Ouled Sidi Ahmed,ouled-sidi-ahmed-dz037050,DZ037050,35.907,5.175
DZ037051,Ouled Tebben,Ouled Tebben,ouled-tebben-dz037051,DZ037051,35.791,5.101
DZ037052,Rosfa,Rosfa,rosfa-dz037052,DZ037052,35.782,5.254
DZ037053,Salah Bey,Salah Bey,salah-bey-dz037053,DZ037053,35.826,5.36
DZ037054,Serdj El Ghoul,Serdj El Ghoul,serdj-el-ghoul-dz037054,DZ037054,36.478,5.583
DZ037055,Setif,Setif,setif-dz037055,DZ037055,36.192,5.418
DZ037056,Tachouda,Tachouda,tachouda-dz037056,DZ037056,36.268,5.741
DZ037057,Tala Ifacene,Tala Ifacene,tala-ifacene-dz037057,DZ037057,36.455,5.119
DZ037058,Taya,Taya,taya-dz037058,DZ037058,35.926,5.948
DZ037059,Tella,Tella,tella-dz037059,DZ037059,35.965,5.709
DZ037060,Tizi N'Bechar,Tizi N'Bechar,tizi-nbechar-dz037060,DZ037060,36.434,5.365
