id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
DZ012_bir-el-ater,بئر العاتر,Bir El Ater,bir-el-ater,DZ012_bir-el-ater,2,34.913,8.017
DZ012_bir-mokadem,بئر مقدم,Bir Mokadem,bir-mokadem,DZ012_bir-mokadem,3,35.476,7.954
DZ012_cheria,الشريعة,Cheria,cheria,DZ012_cheria,2,35.251,7.771
DZ012_el-aouinet,العوينات,El Aouinet,el-aouinet,DZ012_el-aouinet,2,35.83,7.992
DZ012_el-kouif,الكويف,El Kouif,el-kouif,DZ012_el-kouif,3,35.468,8.21
DZ012_el-malabiod,الماء الابيض,El Malabiod,el-malabiod,DZ012_el-malabiod,2,35.24,8.336
DZ012_el-ogla,العقلة,El Ogla,el-ogla,DZ012_el-ogla,4,35.14,7.475
DZ012_morsott,مرسط,Morsott,morsott,DZ012_morsott,2,35.562,7.915
DZ012_negrine,نقرين,Negrine,negrine,DZ012_negrine,2,34.446,7.505
DZ012_ouenza,الونزة,Ouenza,ouenza,DZ012_ouenza,3,35.728,8.22
DZ012_oum-ali,أم علي,Oum Ali,oum-ali,DZ012_oum-ali,2,35.087,8.294
DZ012_tebessa,تبسة,Tebessa,tebessa,DZ012_tebessa,1,35.403,8.091
