id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
DZ048001,Ain Fetah,Ain Fetah,ain-fetah-dz048001,DZ048001,34.975,-1.646
DZ048002,Ain Fezza,Ain Fezza,ain-fezza-dz048002,DZ048002,34.887,-1.208
DZ048003,Ain Ghoraba,Ain Ghoraba,ain-ghoraba-dz048003,DZ048003,34.739,-1.4
DZ048004,Ain Kebira,Ain Kebira,ain-kebira-dz048004,DZ048004,35.03,-1.684
DZ048005,Ain Nehala,Ain Nehala,ain-nehala-dz048005,DZ048005,35.035,-0.988
DZ048006,Ain Tallout,Ain Tallout,ain-tallout-dz048006,DZ048006,34.765,-0.961
DZ048007,Ain Youcef,Ain Youcef,ain-youcef-dz048007,DZ048007,35.075,-1.374
DZ048008,Amieur,Amieur,amieur-dz048008,DZ048008,35.007,-1.24
DZ048009,Azails,Azails,azails-dz048009,DZ048009,34.659,-1.428
DZ048010,Bab El Assa,Bab El Assa,bab-el-assa-dz048010,DZ048010,34.977,-2.007
DZ048011,Beni Bahdel,Beni Bahdel,beni-bahdel-dz048011,DZ048011,34.713,-1.508
DZ048012,Beni Boussaid,Beni Boussaid,beni-boussaid-dz048012,DZ048012,34.636,-1.736
DZ048013,Beni Khellad,Beni Khellad,beni-khellad-dz048013,DZ048013,35.184,-1.588
DZ048014,Beni Mester,Beni Mester,beni-mester-dz048014,DZ048014,34.892,-1.425
DZ048015,Beni Ouarsous,Beni Ouarsous,beni-ouarsous-dz048015,DZ048015,35.095,-1.585
DZ048016,Beni Semiel,Beni Semiel,beni-semiel-dz048016,DZ048016,34.789,-1.094
DZ048017,Beni Snous,Beni Snous,beni-snous-dz048017,DZ048017,34.628,-1.558
DZ048018,Bensekrane,Bensekrane,bensekrane-dz048018,DZ048018,35.114,-1.203
DZ048019,Bouhlou,Bouhlou,bouhlou-dz048019,DZ048019,34.812,-1.606
DZ048020,Chetouane,Chetouane,chetouane-dz048020,DZ048020,34.938,-1.302
DZ048021,Dar Yaghmourassene,Dar Yaghmourassene,dar-yaghmourassene-dz048021,DZ048021,35.104,-1.776
DZ048022,Djebala,Djebala,djebala-dz048022,DZ048022,34.963,-1.823
DZ048023,El Aricha,El Aricha,el-aricha-dz048023,DZ048023,34.394,-1.202
DZ048024,El Bouihi,El Bouihi,el-bouihi-dz048024,DZ048024,34.309,-1.607
DZ048025,El Fehoul,El Fehoul,el-fehoul-dz048025,DZ048025,35.141,-1.285
DZ048026,El Gor,El Gor,el-gor-dz048026,DZ048026,34.552,-1.052
DZ048027,Fellaoucene,Fellaoucene,fellaoucene-dz048027,DZ048027,35.017,-1.572
DZ048028,Ghazaouet,Ghazaouet,ghazaouet-dz048028,DZ048028,35.085,-1.859
DZ048029,Hammam Boughrara,Hammam Boughrara,hammam-boughrara-dz048029,DZ048029,34.925,-1.706
DZ048030,Henaya,Henaya,henaya-dz048030,DZ048030,34.964,-1.392
DZ048031,Honaine,Honaine,honaine-dz048031,DZ048031,35.159,-1.675
DZ048035,M'Sirda Fouaga,M'Sirda Fouaga,msirda-fouaga-dz048035,DZ048035,35.023,-2.088
DZ048032,Maghnia,Maghnia,maghnia-dz048032,DZ048032,34.838,-1.787
DZ048033,Mansourah,Mansourah,mansourah-dz048033,DZ048033,34.873,-1.358
DZ048034,Mersa Ben M'Hidi,Mersa Ben M'Hidi,mersa-ben-mhidi-dz048034,DZ048034,35.06,-2.164
DZ048036,Nedroma,Nedroma,nedroma-dz048036,DZ048036,35.047,-1.759
DZ048037,Oued Chouly,Oued Chouly,oued-chouly-dz048037,DZ048037,34.822,-1.191
DZ048038,Ouled Mimoun,Ouled Mimoun,ouled-mimoun-dz048038,DZ048038,34.901,-1.045
DZ048039,Ouled Riah,Ouled Riah,ouled-riah-dz048039,DZ048039,34.954,-1.546
DZ048040,Remchi,Remchi,remchi-dz048040,DZ048040,35.113,-1.448
DZ048041,Sabra,Sabra,sabra-dz048041,DZ048041,34.849,-1.531
DZ048042,Sebaa Chioukh,Sebaa Chioukh,sebaa-chioukh-dz048042,DZ048042,35.157,-1.366
DZ048043,Sebdou,Sebdou,sebdou-dz048043,DZ048043,34.644,-1.287
DZ048044,Sidi Abdelli,Sidi Abdelli,sidi-abdelli-dz048044,DZ048044,35.048,-1.115
DZ048045,Sidi Djillali,Sidi Djillali,sidi-djillali-dz048045,DZ048045,34.421,-1.499
DZ048046,Sidi Medjahed,Sidi Medjahed,sidi-medjahed-dz048046,DZ048046,34.757,-1.627
DZ048047,Souahlia,Souahlia,souahlia-dz048047,DZ048047,35.03,-1.899
DZ048048,Souani,Souani,souani-dz048048,DZ048048,34.931,-1.936
DZ048049,Souk Thlata,Souk Thlata,souk-thlata-dz048049,DZ048049,35.028,-1.99
DZ048050,Terni Beni Hediel,Terni Beni Hediel,terni-beni-hediel-dz048050,DZ048050,34.783,-1.305
DZ048051,Tienet,Tienet,tienet-dz048051,DZ048051,35.041,-1.837
DZ048052,Tlemcen,Tlemcen,tlemcen-dz048052,DZ048052,34.898,-1.316
DZ048053,Zenata,Zenata,zenata-dz048053,DZ048053,34.993,-1.478
